Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
,SUSP003.001,"Platform suspend and resume (Ubuntu 22.04, push power button)",AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SUSP003.003,"Platform suspend and resume (QubesOS, push power button)",MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SUSP005.001,Cyclic platform suspend and resume (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo Compatibility: Reset to Defaults,RTD001.001,F9 resets Enable USB stack option to true,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD002.001,F9 resets Enable USB Mass Storage driver option to true,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD003.001,F9 resets Lock the BIOS boot medium option to true,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD004.001,F9 resets Enable SMM BIOS write protection to false,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD005.001,F9 resets Early boot DMA Protection to true,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD006.001,F9 resets Enable network boot to false,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD007.001,F9 resets Intel ME mode to enabled,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD008.001,F9 resets Enable PS2 Controller to enabled,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD009.001,F9 resets Enable watchdog to enabled,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD010.001,F9 resets Enable watchdog to enabled,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,RTD011.001,F9 resets Watchdog timeout value to 500,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
Dasharo Security: TCG OPAL disk password support,DMP001.001,TCG OPAL disk password set and check,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
Dasharo Security: Network Boot availability,NBA001.001,Enable Network Boot (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,NBA002.001,Disable Network Boot (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
Dasharo Security: SMM BIOS write protection,BLS001.001,SMM BIOS write protection enabling (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,BLS002.001,SMM BIOS write protection disabling (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
