Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
,WLE003.002 ,Bluetooth scanning (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: Audio subsystem,AUD001.001,Audio subsystem detection (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,AUD001.002,Audio subsystem detection (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,AUD004.001,External headset recognition (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,AUD004.002,External headset recognition (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,AUD005.001,External headset audio playback (Ubuntu 22.04),MANUAL,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
,AUD005.002,External headset audio playback (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,FAIL
,AUD006.001,External headset audio capture (Ubuntu 22.04),MANUAL,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,AUD006.002,External headset audio capture (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo compatibility: NVMe support,NVM001.001,NVMe support (firmware),MANUAL,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,NVM001.002,NVMe support (Ubuntu 22.04),AUTOMATED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,NVM001.003,NVMe support in OS (Windows 11),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
Dasharo Security: Network Boot availability,NBA001.001,Enable Network Boot (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS
,NBA002.001,Disable Network Boot (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS
Dasharo compatibility: Network Boot,PXE001.001,Dasharo Network Boot is available,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE002.001,Dasharo network boot menu boot options order is correct,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE003.001,Autoboot option is available and works correctly,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE004.001,DTS option is available and works correctly,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE005.001,OS installation option is available and works correctly,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE006.001,iPXE shell option is available and works correctly,AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,PXE007.001,iPXE network boot,MANUAL,NOT SUPPORTED,PASS,PASS,PASS,PASS,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED
Dasharo compatibility: Debian Stable and Ubuntu LTS support,LBT003.001,Debian stable installation on Hard Disk,MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,NOT TESTED
