Test name,Test ID,Result,Comments
"No unexpected boot errors (Qubes OS)",STB002.002,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1201#issuecomment-2609924070"
"USB devices detection after cold boot (Qubes OS)",SUD0001.002,PASS,
"USB devices detection after warm boot (Qubes OS)",SUD0002.002,PASS,
"USB devices detection after reboot (Qubes OS)",SUD0003.002,PASS,
"USB devices detection after suspension (Qubes OS) (S3)",SUD0004.004,PASS,
"Platform suspend and resume (QubesOS, wakeup flag)",SUSP001.003,PASS,
"Platform suspend and resume (QubesOS, press key)",SUSP002.003,PASS,
"Platform suspend and resume (QubesOS, power button)",SUSP003.003,PASS,
"Cyclic platform suspend and resume (Qubes OS) (S3)",SUSP005.004,PASS,
"USB devices detected by OS (Qubes OS)",USB001.004,PASS,
"USB keyboard in OS (Qubes OS)",USB002.004,PASS,
"USB Type-C PD power input with ME disabled(Ubuntu)",UTC003.003,PASS,
"USB Type-C Display output (Qubes OS)",UTC004.003,PASS,
"Docking station HDMI display in OS (Ubuntu)",UTC005.003,PASS,
"Docking station DP display in OS (Ubuntu)",UTC006.003,PASS,
"USB Type-C docking station Triple display (Qubes OS)",UTC007.003,PASS,
"USB Type-C docking station detection after coldboot (Qubes OS)",UTC008.003,PASS,
"USB Type-C docking station detection after warmboot (Qubes OS)",UTC009.003,PASS,
"USB Type-C docking station detection after reboot (Qubes OS)",UTC010.003,PASS,
"USB Type-C docking station detection after suspend (Windows)",UTC011.004,PASS,
"USB Type-C docking station USB keyboard (Windows)",UTC013.003,PASS,
"USB Type-C docking station Ethernet connection with ME disabled(Ubuntu)",UTC014.003,PASS,
"USB Type-C docking station audio recognition with ME disabled(Ubuntu)",UTC015.003,PASS,
"USB Type-C docking station audio playback with ME disabled(Ubuntu)",UTC016.003,PASS,
"USB Type-C docking station audio capture with ME disabled(Ubuntu)",UTC017.003,PASS,
"USB Type-C docking station SD Card reader detection ME disabled (Ubuntu)",UTC018.003,PASS,
"USB Type-C docking station SD Card read/write with ME disabled (Ubuntu)",UTC019.003,PASS,
"USB Type-C PD current limiting with ME disabled (Ubuntu)",UTC020.003,PASS,
"USB Type-C laptop charging (Qubes OS)",UTC021.003,PASS,
"Wireless card detection (Qubes OS)",WLE001.003,PASS,
"Wi-Fi scanning (Qubes OS)",WLE002.003,PASS,
