Test name,Test ID,Result,Comments
"Audio subsystem detection (Qubes OS)",AUD001.203,PASS,
"Internal Audio playback (Qubes OS)",AUD002.203,PASS,
"Internal Audio capture (Qubes OS)",AUD003.203,PASS,
"External headset recognition (Qubes OS)",AUD004.203,PASS,
"External headset audio playback (Qubes OS)",AUD005.203,PASS,
"External headset audio capture (Qubes OS)",AUD006.203,PASS,
"HDMI audio recognition (Qubes OS)",AUD007.003,PASS,
"HDMI Audio recognition (Qubes OS)",AUD007.203,PASS,
"HDMI Audio playback (Qubes OS)",AUD008.203,PASS,
"Integrated webcam (Qubes OS)",CAM001.203,PASS,
"CPU not stuck on initial frequency (Qubes OS) (battery)",CPF001.014,PASS,
"CPU not stuck on initial frequency (Qubes OS) (AC)",CPF001.015,PASS,
"CPU not stuck on initial frequency (Qubes OS) (USB-PD)",CPF001.016,PASS,
"CPU not stuck on initial frequency (Qubes OS) (battery)",CPF002.203,PASS,
"CPU not stuck on initial frequency (Qubes OS) (AC)",CPF003.203,PASS,
"CPU not stuck on initial frequency (Qubes OS) (USB-PD)",CPF004.203,PASS,
"CPU runs on expected frequency (Qubes OS) (battery)",CPF006.203,PASS,
"CPU runs on expected frequency (Qubes OS) (AC)",CPF007.203,PASS,
"CPU runs on expected frequency (Qubes OS) (USB-PD)",CPF008.203,PASS,
"CPU with load runs on expected frequency (Qubes OS) (battery)",CPF010.203,PASS,
"CPU with load runs on expected frequency (Qubes OS) (AC)",CPF011.203,PASS,
"CPU with load runs on expected frequency (Qubes OS) (USB-PD)",CPF012.203,PASS,
"CPU temperature without load (Qubes OS) (battery)",CPT002.203,PASS,
"CPU temperature without load (Qubes OS) (AC)",CPT003.203,PASS,
"CPU temperature without load (Qubes OS) (USB-PD)",CPT004.203,PASS,
"CPU temperature after stress test (Qubes OS) (battery)",CPT006.203,PASS,
"CPU temperature after stress test (Qubes OS) (AC)",CPT007.203,PASS,
"CPU temperature after stress test (Qubes OS) (USB-PD)",CPT008.203,PASS,
"CPU works (Qubes OS)",CPU001.203,PASS,
"CPU cache enabled (Qubes OS)",CPU002.203,PASS,
"Multiple CPU support (Qubes OS)",CPU003.203,PASS,
"Multiple-core support (Qubes OS)",CPU004.203,PASS,
"Internal display in OS (Qubes OS)",DSP001.203,PASS,
"External HDMI display in OS (Qubes OS)",DSP002.203,PASS,
"Battery monitoring - charge level in OS (Qubes OS)",ECR001.203,PASS,
"Battery monitoring - charging state in OS (Qubes OS)",ECR002.203,PASS,
"Touchpad in OS (Qubes OS)",ECR003.203,PASS,
