Test name,Test ID,Result,Comments
"F9 resets Enable USB stack option to default (EDK2 UEFI)",RTD001.101,PASS,
"F9 resets Enable USB Mass Storage driver option to default (EDK2 UEFI)",RTD002.101,PASS,
"F9 resets Enable SMM BIOS write protection to default (EDK2 UEFI)",RTD004.101,PASS,
"F9 resets Enable network boot to default (EDK2 UEFI)",RTD006.101,PASS,
"F9 reset is effective across DSF (EDK2 UEFI)",RTD015.101,PASS,
"F9 reset is globally effective (EDK2 UEFI)",RTD016.101,PASS,
"F9 reset is globally effective (EDK2 UEFI)",RTD017.101,PASS,
"Check Secure Boot default state (EDK2 UEFI)",SBO001.101,PASS,
"UEFI Secure Boot (Ubuntu)",SBO002.201,PASS,
"UEFI Secure Boot (Windows)",SBO002.301,PASS,
"Attempt to boot file with the correct key from Shell (EDK2 UEFI)",SBO003.101,PASS,
"Attempt to boot file without the key from Shell (EDK2 UEFI)",SBO004.101,PASS,
"Attempt to boot file with the wrong-signed key from Shell (EDK2 UEFI)",SBO005.101,PASS,
"Reset Secure Boot Keys option availability (EDK2 UEFI)",SBO006.101,PASS,
"Attempt to boot the file after restoring keys to default (EDK2 UEFI)",SBO007.101,PASS,
"Attempt to enroll the key in the incorrect format (EDK2 UEFI)",SBO008.101,PASS,
"CPU clock speed displayed in setup menu (EDK2 UEFI)",SET001.101,PASS,
"RAM speed displayed in setup menu (EDK2 UEFI)",SET002.101,PASS,
"RAM size displayed in setup menu (EDK2 UEFI)",SET003.101,PASS,
"Expected CPU clock speed displayed in setup menu (EDK2 UEFI)",SET004.101,PASS,
"Expected RAM speed displayed in setup menu (EDK2 UEFI)",SET005.101,PASS,
"Expected RAM size displayed in setup menu (EDK2 UEFI)",SET006.101,PASS,
"NVMe detection after cold boot (Ubuntu)",SNV001.201,PASS,
"NVMe detection after warm boot (Ubuntu)",SNV002.201,PASS,
"NVMe detection after reboot (Ubuntu)",SNV003.201,PASS,
"Check that all options in OptionROMs are available (EDK2 UEFI)",SOR001.101,PASS,
"Verify if no reboot occurs in the firmware",STB001.001,PASS,
"Verify if no reboot occurs in the OS (Ubuntu)",STB001.201,PASS,
"Verify if no reboot occurs in the OS (Windows)",STB001.301,PASS,
"Verify if no unexpected boot errors appear in Linux logs (Ubuntu)",STB002.201,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1845"
"Verify if no reboot occurs in the OS (Windows)",STB002.301,PASS,
"USB devices detection after cold boot (Ubuntu)",SUD001.201,PASS,
"USB devices detection after warm boot (Ubuntu)",SUD002.201,PASS,
"USB devices detection after reboot (Ubuntu)",SUD003.201,PASS,
"Detect TPM after platform reboot (Ubuntu)",TPD003.201,PASS,
"Detect TPM after platform suspend (Ubuntu)",TPD004.201,PASS,
"TPM Support (EDK2 UEFI)",TPM001.101,PASS,
"TPM Support (Ubuntu)",TPM001.201,PASS,
"TPM Support (Windows)",TPM001.301,PASS,
"Verify TPM version (EDK2 UEFI)",TPM002.101,PASS,
"Verify TPM Version (Ubuntu)",TPM002.201,PASS,
"Verify TPM Version (Windows)",TPM002.301,PASS,
"Check TPM Physical Presence Interface (EDK2 UEFI)",TPM003.101,PASS,
"Check TPM Physical Presence Interface (Ubuntu)",TPM003.201,PASS,
"Check TPM Physical Presence Interface (Windows)",TPM003.301,PASS,
"Change active PCR banks with TPM PPI (EDK2 UEFI)",TPM011.101,PASS,
"Check if the ChangeEPS works (Ubuntu)",TPM012.201,PASS,
"TPM PPI Prompt (Ubuntu)",TPM013.201,PASS,
"TPM PPI Prompt (Windows)",TPM013.301,PASS,
"PCRREAD Function Verification (Ubuntu)",TPMCMD002.201,PASS,
"PCREXTEND And PCRRESET Functions (Ubuntu)",TPMCMD003.201,PASS,
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)",TPMCMD004.201,PASS,
"PCREVENT Function (Ubuntu)",TPMCMD005.201,PASS,
"CREATEPRIMARY Function Verification (Ubuntu)",TPMCMD006.201,PASS,
"NVDEFINE and NVUNDEFINE Functions Verification (Ubuntu)",TPMCMD007.201,PASS,
"CREATE Function (Ubuntu)",TPMCMD008.201,PASS,
"CREATELOADED Function (Ubuntu)",TPMCMD009.201,PASS,
"Signing the file (Ubuntu)",TPMCMD010.201,PASS,
"Hashing the file (Ubuntu)",TPMCMD012.201,PASS,
"Performing HMAC operation on the file (Ubuntu)",TPMCMD013.201,PASS,
"Sealing and Unsealing the file without Policy (Ubuntu)",TPMCMD014.201,PASS,
"Sealing and Unsealing with Policy - Password Only (Ubuntu)",TPMCMD015.201,PASS,
"Sealing and Unsealing with Policy - PCR Only (Ubuntu)",TPMCMD016.201,PASS,
"Sealing and unsealing with Policy - Password and PCR (Ubuntu)",TPMCMD017.201,PASS,
"USB detect and boot after coldboot (DTS)",UBT001.211,PASS,
"USB detect and boot after warmboot (DTS)",UBT002.211,PASS,
"USB detect and boot after system reboot (DTS)",UBT003.211,PASS,
"USB detection after coldboot (EDK2 UEFI)",UDT001.101,PASS,
"USB detection after warmboot (EDK2 UEFI)",UDT002.101,PASS,
"USB detection after system reboot (EDK2 UEFI)",UDT003.101,PASS,
"USB devices detected in FW (EDK2 UEFI)",USB001.101,PASS,
"USB devices detected by OS (Ubuntu)",USB001.201,PASS,
"USB devices detected by OS (Windows)",USB001.301,PASS,
"USB keyboard detected in FW (UEFI Shell)",USB002.106,PASS,
"USB keyboard in OS (Ubuntu)",USB002.201,PASS,
"USB keyboard in OS (Windows)",USB002.301,PASS,
"Upload 1GB file on USB storage (Ubuntu)",USB003.201,PASS,
"Upload 1GB file on USB storage (Windows)",USB003.301,PASS,
"UEFI Shell Support (UEFI Shell)",USH001.106,PASS,
"Enable USB stack (EDK2 UEFI)",USS001.101,PASS,
"Disable USB stack (EDK2 UEFI)",USS002.101,PASS,
"Enable USB Mass Storage (EDK2 UEFI)",USS003.101,PASS,
"Disable USB Mass Storage (EDK2 UEFI)",USS004.101,PASS,
