Test name,Test ID,Result,Comments
"Check TPM Physical Presence Interface (firmware)",TPM003.001,PASS,
"Check TPM Physical Presence Interface (Ubuntu)",TPM003.002,PASS,
"Check TPM Physical Presence Interface (Windows)",TPM003.003,NOT TESTED,
"Change active PCR banks with TPM PPI (firmware)",TPM003.004,PASS,
"Check if both SHA1 and SHA256 PCRs are enabled (Ubuntu)",TPMCMD001.001,PASS,
"PCRREAD Function Verification (Ubuntu)",TPMCMD002.001,PASS,
"PCREXTEND And PCRRESET Functions (Ubuntu)",TPMCMD003.001,PASS,
"PCREXTEND And PCRRESET Functions - locality protections (Ubuntu)",TPMCMD003.002,PASS,
"PCREVENT Function (Ubuntu)",TPMCMD004.001,PASS,
"CREATEPRIMARY Function Verification (Ubuntu)",TPMCMD005.001,PASS,
"NVDEFINE and NVUNDEFINE Functions Verification (Ubuntu)",TPMCMD006.001,PASS,
"CREATE Function (Ubuntu)",TPMCMD007.001,PASS,
"CREATELOADED Function (Ubuntu)",TPMCMD007.002,FAIL,
"Signing the file (Ubuntu)",TPMCMD008.001,PASS,
"Encryption and Decryption of the file (Ubuntu)",TPMCMD009.001,NOT TESTED,
"Hashing the file (Ubuntu)",TPMCMD010.001,PASS,
"Performing HMAC operation on the file (Ubuntu)",TPMCMD011.001,PASS,
"USB detect and boot after coldboot",UBT001.001,PASS,
"USB detect and boot after warmboot",UBT002.001,PASS,
"USB detect and boot after system reboot",UBT003.001,PASS,
"USB detection after coldboot",UDT001.001,PASS,
"USB detection after warmboot",UDT001.002,PASS,
"USB detection after system reboot",UDT001.003,PASS,
"USB devices detected in FW",USB001.001,PASS,
"USB devices detected by OS (Ubuntu)",USB001.002,PASS,
"USB devices detected by OS (Windows)",USB001.003,NOT TESTED,
"USB keyboard detected in FW",USB002.001,PASS,
"USB keyboard in OS (Ubuntu)",USB002.002,NOT TESTED,
"USB keyboard in OS (Windows)",USB002.003,NOT TESTED,
"UEFI Shell",USH001.001,PASS,
"Enable USB stack (firmware)",USS001.001,PASS,
"Disable USB stack (firmware)",USS002.001,PASS,
"Enable USB Mass Storage (firmware)",USS003.001,PASS,
"Disable USB Mass Storage (firmware)",USS004.001,PASS,
"USB Type-C Display output (Ubuntu)",UTC004.001,PASS,
"USB Type-C Display output (Windows)",UTC004.002,PASS,
"Windows 11 installation and boot",WBT001.001,NOT TESTED,
"Wireless card detection (Ubuntu)",WLE001.001,FAIL,
"Wireless card detection (Windows)",WLE001.002,NOT TESTED,
"Wi-Fi scanning (Ubuntu)",WLE002.001,PASS,
"Wi-Fi scanning (Windows)",WLE002.002,NOT TESTED,
"Bluetooth scanning (Ubuntu)",WLE003.001,PASS,
"Bluetooth scanning (Windows)",WLE003.002,NOT TESTED,
