Test name,Test ID,Result,Comments
"Flash device EC firmware by using DTS built-in script works correctly",DTS006.001,NOT TESTED,
"DTS option power-off DUT works correctly",DTS008.001,NOT TESTED,
"Battery monitoring - charge level in OS (Ubuntu)",ECR001.201,NOT TESTED,
"Battery monitoring - charge level in OS (Windows)",ECR001.301,NOT TESTED,
"Battery monitoring - charging state in OS (Ubuntu)",ECR002.201,NOT TESTED,
"Battery monitoring - charging state in OS (Windows)",ECR002.301,NOT TESTED,
"Touchpad in OS - (Ubuntu)",ECR003.201,NOT TESTED,
"Touchpad in OS - (Windows)",ECR003.301,NOT TESTED,
"Keyboard (standard keypad) in firmware",ECR004.001,NOT TESTED,
"Keyboard (standard keypad) in OS (Ubuntu)",ECR004.201,NOT TESTED,
"Keyboard (standard keypad) in OS (Windows)",ECR004.301,NOT TESTED,
"Keyboard (function key: play/pause) in OS (Ubuntu)",ECR005.201,NOT TESTED,
"Keyboard (function key: play/pause) in OS (Windows)",ECR005.301,NOT TESTED,
"Keyboard (function key: cooling mode) in OS (Ubuntu)",ECR006.201,NOT TESTED,
"Keyboard (function key: cooling mode) in OS (Windows)",ECR006.301,NOT TESTED,
"Keyboard (function key: touchpad on/off) in OS (Ubuntu)",ECR007.201,NOT TESTED,
"Keyboard (function key: touchpad on/off) in OS (Windows)",ECR007.301,NOT TESTED,
"Keyboard (function key: display on/off) in OS (Ubuntu)",ECR008.201,NOT TESTED,
"Keyboard (function key: display on/off) in OS (Windows)",ECR008.301,NOT TESTED,
"Keyboard (function key: mute) in OS (Ubuntu)",ECR009.201,NOT TESTED,
"Keyboard (function key: mute) in OS (Windows)",ECR009.301,NOT TESTED,
"Keyboard (function key: keyboard backlight) in OS (Ubuntu)",ECR010.201,NOT TESTED,
"Keyboard (function key: keyboard backlight) in OS (Windows)",ECR010.301,NOT TESTED,
"Keyboard (function key: volume down) in OS (Ubuntu)",ECR011.201,NOT TESTED,
"Keyboard (function key: volume down) in OS (Windows)",ECR011.301,NOT TESTED,
"Keyboard (function key: volume up) in OS (Ubuntu)",ECR012.201,NOT TESTED,
"Keyboard (function key: volume up) in OS (Windows)",ECR012.301,NOT TESTED,
"Keyboard (function key: display switch) in OS (Ubuntu)",ECR013.201,NOT TESTED,
"Keyboard (function key: display switch) in OS (Windows)",ECR013.301,NOT TESTED,
"Keyboard (function key: brightness down) in OS (Windows)",ECR014.002,NOT TESTED,
"Keyboard (function key: brightness down) in OS (Ubuntu)",ECR014.201,NOT TESTED,
"Keyboard (function key: brightness up) in OS (Windows)",ECR015.002,NOT TESTED,
"Keyboard (function key: brightness up) in OS (Ubuntu)",ECR015.201,NOT TESTED,
"Keyboard (function key: camera on/off) in OS (Windows)",ECR016.002,NOT TESTED,
"Keyboard (function key: camera on/off) in OS (Ubuntu)",ECR016.201,NOT TESTED,
"Keyboard (function key: flight mode) in OS (Windows)",ECR017.002,NOT TESTED,
"Keyboard (function key: flight mode) in OS (Ubuntu)",ECR017.201,NOT TESTED,
"Keyboard (function key: sleep) in OS (Ubuntu)",ECR018.201,NOT TESTED,
"Keyboard (function key: sleep) in OS (Windows)",ECR018.301,NOT TESTED,
"Buttons (button: power) in OS (Windows)",ECR019.002,NOT TESTED,
"Buttons (button: power) in OS (Ubuntu)",ECR019.201,NOT TESTED,
"Buttons (button: lid switch) in OS (Windows)",ECR020.002,NOT TESTED,
"EC sync update with power adapter connected works correctly",ECR022.001,NOT TESTED,
"EC sync doesn't update with power adapter disconnected",ECR023.001,NOT TESTED,
"Permanent keyboard illumination after cold boot (Ubuntu)",ECR025.002,NOT TESTED,
"Permanent keyboard illumination after cold boot (Windows)",ECR025.003,NOT TESTED,
"Permanent keyboard illumination after warm boot (Ubuntu)",ECR026.002,NOT TESTED,
"Permanent keyboard illumination after warm boot (Windows)",ECR026.003,NOT TESTED,
"Permanent keyboard illumination after reboot (Ubuntu)",ECR027.002,NOT TESTED,
"Permanent keyboard illumination after reboot (Windows)",ECR027.003,NOT TESTED,
"Permanent keyboard illumination after suspension (Ubuntu)",ECR028.002,NOT TESTED,
"Permanent keyboard illumination after suspension (Windows)",ECR028.003,NOT TESTED,
"FnLock Hotkey (Ubuntu)",ECR029.001,NOT TESTED,
"FnLock Hotkey (Windows)",ECR029.002,NOT TESTED,
"EC power button watchdog",ECR033.001,NOT TESTED,
"Soft Switch Microphone Key (Ubuntu)",ECR034.001,NOT TESTED,
"Soft Switch Microphone Key (Windows)",ECR034.002,NOT TESTED,
"Boot into UEFI OS (Ubuntu)",EFI001.201,NOT TESTED,
"Boot into UEFI OS (Windows)",EFI001.301,NOT TESTED,
"CPU fan speed measure",FAN001.201,NOT TESTED,
"All available fans are running",FAN002.201,NOT TESTED,
"Fans are turning off during suspend mode with ME Enabled",FAN003.201,NOT TESTED,
"Fans are turning off during suspend mode with ME Soft disabled",FAN004.201,NOT TESTED,
"Fans are turning off during suspend mode with ME HAP disabled",FAN005.201,NOT TESTED,
"Fast Boot Reduces Boot Time",FBT001.201,NOT TESTED,
"Fedora installation",FED001.001,NOT TESTED,
"Boot Fedora",FED001.002,NOT TESTED,
"Platform hibernation and resume (Ubuntu)",HBN001.001,NOT TESTED,
"Platform hibernation and resume (Windows)",HBN001.002,NOT TESTED,
"Memory HCL - boot into OS (Ubuntu)",HCL001.001,NOT TESTED,
"Ubuntu LTS installation on Hard Disk",LBT004.001,NOT TESTED,
"Boot Ubuntu From Hard Disk",LBT004.002,NOT TESTED,
"Measured Boot support (Ubuntu)",MBO001.201,NOT TESTED,
"ME disable option is available and has the correct default state",MNE001.001,NOT TESTED,
"ME disable option off works correctly (Ubuntu)",MNE002.001,NOT TESTED,
"ME disable option soft disable works correctly (Ubuntu)",MNE003.001,NOT TESTED,
"ME disable HAP bit option works correctly (Ubuntu)",MNE004.001,NOT TESTED,
"Check Intel ME version",MNE006.001,NOT TESTED,
"Wireless card detection (Ubuntu)",MWL001.201,NOT TESTED,
"Wireless card detection (Fedora)",MWL001.202,NOT TESTED,
"Wireless card detection (Windows)",MWL001.301,NOT TESTED,
"Enable Network Boot (firmware)",NBA001.001,NOT TESTED,
"Disable Network Boot (firmware)",NBA002.001,NOT TESTED,
"Netboot is available",NBT001.001,NOT TESTED,
"OS Selection & Utilities is available",NBT002.001,NOT TESTED,
"iPXE boot is available",NBT003.001,NOT TESTED,
"iPXE shell is available",NBT004.001,NOT TESTED,
"iPXE shell works correctly",NBT005.001,NOT TESTED,
"NET controller after coldboot (Ubuntu)",NET001.001,NOT TESTED,
"NET controller after warmboot (Ubuntu)",NET002.001,NOT TESTED,
"Net controller after reboot (Ubuntu)",NET003.201,NOT TESTED,
"NET controller after suspend (Ubuntu)",NET004.201,NOT TESTED,
"NVMe support in firmware",NVM001.001,NOT TESTED,
"NVMe support in OS (Ubuntu)",NVM001.201,NOT TESTED,
"NVMe support in OS (Windows)",NVM001.301,NOT TESTED,
"Check Power State After Power Failure default state (firmware)",PSF001.001,NOT TESTED,
"Powered Off State Restoration Test",PSF002.001,NOT TESTED,
"Powered On State Restoration Test",PSF003.001,NOT TESTED,
"Check Password Setup option availability and default state",PSW001.001,NOT TESTED,
"Password setting mechanism correctness checking",PSW002.001,NOT TESTED,
"Attempt to log in with a correct password",PSW003.001,NOT TESTED,
"Attempt to log in with an incorrect password",PSW004.001,NOT TESTED,
"Attempt to log in with an incorrect password 3 times",PSW005.001,NOT TESTED,
"Attempt to turn off setup password functionality",PSW006.001,NOT TESTED,
"Attempt to set non-compilant password",PSW007.001,NOT TESTED,
"Attempt to set old password",PSW008.001,NOT TESTED,
"Dasharo Network Boot is available",PXE001.001,NOT TESTED,
"Dasharo network boot menu boot options order is correct",PXE002.001,NOT TESTED,
"Autoboot option is available and works correctly",PXE003.001,NOT TESTED,
"DTS option is available and works correctly",PXE004.001,NOT TESTED,
"OS installation option is available and works correctly",PXE005.001,NOT TESTED,
"iPXE shell option is available and works correctly",PXE006.001,NOT TESTED,
"F9 resets Enable USB stack option to default",RTD001.001,NOT TESTED,
"F9 resets Enable USB Mass Storage driver option to default",RTD002.001,NOT TESTED,
"F9 resets Lock the BIOS boot medium option to default",RTD003.001,NOT TESTED,
"F9 resets Enable SMM BIOS write protection to default",RTD004.001,NOT TESTED,
"F9 resets Enable network boot to default",RTD006.001,NOT TESTED,
"F9 resets Intel ME mode to default",RTD007.001,NOT TESTED,
"Check Secure Boot default state (firmware)",SBO001.001,NOT TESTED,
"UEFI Secure Boot (Ubuntu)",SBO002.001,NOT TESTED,
"UEFI Secure Boot (Windows)",SBO002.002,NOT TESTED,
"Attempt to boot file with the correct key from Shell (firmware)",SBO003.001,NOT TESTED,
"Attempt to boot file without the key from Shell (firmware)",SBO004.001,NOT TESTED,
"Attempt to boot file with the wrong-signed key from Shell (firmware)",SBO005.001,NOT TESTED,
"Reset Secure Boot Keys option availability (firmware)",SBO006.001,NOT TESTED,
"Attempt to boot the file after restoring keys to default (firmware)",SBO007.001,NOT TESTED,
"Attempt to enroll the key in the incorrect format (firmware)",SBO008.001,NOT TESTED,
"SD Card reader detection (Ubuntu)",SDC001.201,NOT TESTED,
"SD Card reader detection (Fedora)",SDC001.202,NOT TESTED,
"SD Card reader detection (Windows)",SDC001.301,NOT TESTED,
"SD Card read/write (Ubuntu)",SDC002.201,NOT TESTED,
"SD Card read/write (Fedora)",SDC002.202,NOT TESTED,
"SD Card read/write (Windows)",SDC002.301,NOT TESTED,
"CPU clock speed displayed in setup menu",SET001.001,NOT TESTED,
"RAM speed displayed in setup menu",SET002.001,NOT TESTED,
"RAM size displayed in setup menu",SET003.001,NOT TESTED,
"Expected CPU clock speed displayed in setup menu",SET004.001,NOT TESTED,
"Expected RAM speed displayed in setup menu",SET005.001,NOT TESTED,
"Expected RAM size displayed in setup menu",SET006.001,NOT TESTED,
"Wi-fi connection after cold boot (Ubuntu)",SMW001.001,NOT TESTED,
"Wi-fi connection after warm boot (Ubuntu)",SMW002.201,NOT TESTED,
"Wi-fi connection after reboot (Ubuntu)",SMW003.201,NOT TESTED,
"Wi-fi connection after suspension (Ubuntu)",SMW004.201,NOT TESTED,
"NVMe detection after cold boot (Ubuntu)",SNV0001.001,NOT TESTED,
"NVMe detection after warm boot (Ubuntu)",SNV002.201,NOT TESTED,
"NVMe detection after reboot (Ubuntu)",SNV003.201,NOT TESTED,
"NVMe detection after suspension (Ubuntu)",SNV004.201,NOT TESTED,
"SOL string shows Dasharo firmware and EC version",SOL001.001,NOT TESTED,
"SOL string shows information about proprietary EC",SOL002.001,NOT TESTED,
"2x warmboot cycle (Battery) (Ubuntu)",SPM005.001,NOT TESTED,
"2x warmboot cycle (Battery) (Windows)",SPM005.002,NOT TESTED,
"2x warmboot cycle (AC) (Ubuntu)",SPM006.001,NOT TESTED,
"2x warmboot cycle (AC) (Windows)",SPM006.002,NOT TESTED,
"USB devices detection after cold boot (Ubuntu)",SUD0001.001,NOT TESTED,
"USB devices detection after warm boot (Ubuntu)",SUD002.201,NOT TESTED,
"USB devices detection after reboot (Ubuntu)",SUD003.201,NOT TESTED,
"USB devices detection after suspension (Ubuntu)",SUD004.201,NOT TESTED,
"Platform suspend and resume (Ubuntu, wakeup flag)",SUSP001.201,NOT TESTED,
"Platform suspend and resume (Ubuntu, press key)",SUSP002.201,NOT TESTED,
"Platform suspend and resume (Ubuntu, power button)",SUSP003.201,NOT TESTED,
"Cyclic platform suspend and resume (Ubuntu)",SUSP005.201,NOT TESTED,
"Detect TPM after platform reboot (Ubuntu)",TPD003.201,NOT TESTED,
"Detect TPM after platform suspend (Ubuntu)",TPD004.001,NOT TESTED,
"TPM Support (Ubuntu)",TPM001.201,NOT TESTED,
"TPM Support (Fedora)",TPM001.202,NOT TESTED,
"TPM Support (Windows)",TPM001.301,NOT TESTED,
"Verify TPM version (firmware)",TPM002.001,NOT TESTED,
"Verify TPM Version (Ubuntu)",TPM002.201,NOT TESTED,
