Test name,Test ID,Result,Comments
External HDMI display in OS (Fedora),DSP002.202,PASS,
External HDMI display in OS (Qubes OS),DSP002.203,PASS,
External HDMI display in OS (Windows),DSP002.301,PASS,
Flash device from DTS shell by using flashrom works correctly (DTS),DTS005.211,PASS,
DTS option power-off DUT works correctly (DTS),DTS008.211,PASS,
Boot into UEFI OS (Ubuntu),EFI001.201,PASS,
Boot into UEFI OS (Windows),EFI001.301,PASS,
Fast Boot Reduces Boot Time (Ubuntu),FBT001.201,PASS,
Fedora installation (Fedora),FED001.202,PASS,
Boot Fedora (Fedora),FED002.202,PASS,
Memory HCL - boot into OS (Ubuntu),HCL001.201,PASS,
Ubuntu LTS installation on Hard Disk (Ubuntu),LBT001.201,PASS,
Boot Ubuntu LTS From Hard Disk (Ubuntu),LBT002.201,PASS,
Measured Boot support (Ubuntu),MBO001.201,PASS,
Measured Boot support (Fedora),MBO001.202,PASS,
Check if event log PCRs match actual values (Ubuntu),MBO002.201,PASS,
Check if event log PCRs match actual values (Fedora),MBO002.202,PASS,
Changing Secure Boot certificate changes only PCR-7 (EDK2 UEFI),MBO003.101,PASS,
Changing Dasharo network boot settings changes only PCR-1 (EDK2 UEFI),MBO004.101,PASS,
Changing Dasharo security settings changes only PCR-1 (EDK2 UEFI),MBO005.101,PASS,
Flashing firmware and reset to defaults results in same measurement (EDK2 UEFI),MBO007.101,PASS,
Multiple reset to defaults results in identical measurements (EDK2 UEFI),MBO008.101,PASS,
Identical configuration results in identical measurements (EDK2 UEFI),MBO009.101,PASS,
ME disable option is available and has the correct default state (EDK2 UEFI),MNE001.101,PASS,
ME disable option off works correctly (Ubuntu),MNE002.201,PASS,
Intel ME mode option Enabled works correctly (Fedora),MNE002.202,PASS,
ME disable HAP bit option works correctly (Ubuntu),MNE004.201,PASS,
Intel ME mode option Disabled (HAP) works correctly (Fedora),MNE004.202,PASS,
Check Intel ME version (Ubuntu),MNE006.201,PASS,
Check Intel ME version (Fedora),MNE006.202,PASS,
Wireless card detection (Ubuntu),MWL001.201,PASS,
Wireless card detection (Fedora),MWL001.202,PASS,
Wireless card detection (Windows),MWL001.301,PASS,
Wi-Fi scanning (Ubuntu),MWL002.201,PASS,
Wi-Fi scanning (Fedora),MWL002.202,PASS,
Wi-Fi scanning (Windows),MWL002.301,PASS,
NET controller after coldboot (Ubuntu),NET001.201,PASS,
NET controller after coldboot (Qubes OS),NET001.203,PASS,
Net controller after warmboot (Ubuntu),NET002.201,PASS,
Net controller after warmboot (Fedora),NET002.202,PASS,
Network controller after warmboot (Qubes OS),NET002.203,PASS,
Net controller after reboot (Ubuntu),NET003.201,PASS,
Net controller after reboot (Fedora),NET003.202,PASS,
Network controller after reboot (Qubes OS),NET003.203,PASS,
NET controller after suspend (Ubuntu),NET004.201,PASS,
NET controller after suspend (Fedora),NET004.202,PASS,
NET controller after suspend (Ubuntu) (S0ix),NET005.201,PASS,
NET controller after suspend (Fedora) (S0ix),NET005.202,PASS,
NET controller after suspend (Ubuntu) (S3),NET006.201,PASS,
NET controller after suspend (Fedora) (S3),NET006.202,PASS,
Network controller after suspend (Qubes OS) (S3),NET006.203,PASS,
NVMe support in firmware (EDK2 UEFI),NVM001.101,PASS,
NVMe support in OS (Ubuntu),NVM001.201,PASS,
NVMe support in OS (Fedora),NVM001.202,PASS,
NVMe support in OS (Windows),NVM001.301,PASS,
Check Power State After Power Failure default state (EDK2 UEFI),PSF001.101,PASS,
Powered Off State Restoration Test (EDK2 UEFI),PSF002.101,PASS,
Powered On State Restoration Test (EDK2 UEFI),PSF003.101,PASS,
Previous Power State Restoration Test - Powered Off (EDK2 UEFI),PSF004.101,PASS,
Previous Power State Restoration Test - Powered On (EDK2 UEFI),PSF005.101,PASS,
Check Password Setup option availability and default state (EDK2 UEFI),PSW001.101,PASS,
Password setting mechanism correctness checking (EDK2 UEFI),PSW002.101,PASS,
Attempt to log in with a correct password (EDK2 UEFI),PSW003.101,PASS,
Attempt to log in with an incorrect password (EDK2 UEFI),PSW004.101,PASS,
Attempt to log in with an incorrect password 3 times (EDK2 UEFI),PSW005.101,PASS,
Attempt to turn off setup password functionality (EDK2 UEFI),PSW006.101,PASS,
Attempt to set non-compliant password (EDK2 UEFI),PSW007.101,PASS,
Attempt to set old password (EDK2 UEFI),PSW008.101,PASS,
Dasharo Network Boot is available (EDK2 UEFI),PXE001.101,PASS,
Dasharo network boot menu boot options order is correct (EDK2 UEFI),PXE002.101,PASS,
Autoboot option is available and works correctly (EDK2 UEFI),PXE003.101,PASS,
DTS option is available and works correctly (EDK2 UEFI),PXE004.101,PASS,
OS installation option is available and works correctly (EDK2 UEFI),PXE005.101,PASS,
iPXE shell option is available and works correctly (EDK2 UEFI),PXE006.101,PASS,
Dasharo Network Boot over https not http (EDK2 UEFI),PXE007.101,PASS,
Firmware Update Mode (EDK2 UEFI),PXE008.101,PASS,
Qubes OS installation (Qubes OS),QBS001.203,PASS,
Boot Qubes OS (Qubes OS),QBS002.203,PASS,
Make Qubes the default boot entry (Qubes OS),QBS004.203,PASS,
Boot installed Qubes from SSD (Qubes OS),QBS005.203,PASS,
Reboot in Qubes (Qubes OS),QBS006.203,PASS,
F9 resets Enable USB stack option to default (EDK2 UEFI),RTD001.101,PASS,
F9 resets Enable USB Mass Storage driver option to default (EDK2 UEFI),RTD002.101,PASS,
F9 resets Lock the BIOS boot medium option to default (EDK2 UEFI),RTD003.101,PASS,
F9 resets Enable SMM BIOS write protection to default (EDK2 UEFI),RTD004.101,PASS,
F9 resets Enable network boot to default (EDK2 UEFI),RTD006.101,PASS,
F9 resets Intel ME mode to default (EDK2 UEFI),RTD007.101,PASS,
Check Secure Boot default state (EDK2 UEFI),SBO001.101,PASS,
UEFI Secure Boot (Ubuntu),SBO002.201,PASS,
UEFI Secure Boot (Windows),SBO002.301,PASS,
Attempt to boot file with the correct key from Shell (EDK2 UEFI),SBO003.101,PASS,
Attempt to boot file without the key from Shell (EDK2 UEFI),SBO004.101,PASS,
Attempt to boot file with the wrong-signed key from Shell (EDK2 UEFI),SBO005.101,PASS,
Reset Secure Boot Keys option availability (EDK2 UEFI),SBO006.101,PASS,
Attempt to boot the file after restoring keys to default (EDK2 UEFI),SBO007.101,PASS,
Attempt to enroll the key in the incorrect format (EDK2 UEFI),SBO008.101,PASS,
Attempt to boot file signed for intermediate certificate (EDK2 UEFI),SBO009.101,PASS,
Attempt to enroll expired certificate and boot signed image (EDK2 UEFI),SBO016.101,PASS,
Attempt to enroll the key in the incorrect format (Ubuntu),SBO021.201,PASS,
CPU clock speed displayed in setup menu (EDK2 UEFI),SET001.101,PASS,
RAM speed displayed in setup menu (EDK2 UEFI),SET002.101,PASS,
RAM size displayed in setup menu (EDK2 UEFI),SET003.101,PASS,
Expected CPU clock speed displayed in setup menu (EDK2 UEFI),SET004.101,PASS,
Expected RAM speed displayed in setup menu (EDK2 UEFI),SET005.101,PASS,
Expected RAM size displayed in setup menu (EDK2 UEFI),SET006.101,PASS,
Wi-fi connection after cold boot (Ubuntu),SMW001.201,PASS,
Wi-fi detection after cold boot (Qubes OS),SMW001.203,PASS,
Wi-fi connection after warm boot (Ubuntu),SMW002.201,PASS,
Wi-fi connection after warm boot (Fedora),SMW002.202,PASS,
Wi-fi detection after warm boot (Qubes OS),SMW002.203,PASS,
Wi-fi connection after reboot (Ubuntu),SMW003.201,PASS,
Wi-fi connection after reboot (Fedora),SMW003.202,PASS,
Wi-fi detection after reboot (Qubes OS),SMW003.203,PASS,
Wi-fi connection after suspension (Ubuntu),SMW004.201,PASS,
Wi-fi connection after suspension (Fedora),SMW004.202,PASS,
Wi-fi detection after suspension (Qubes OS),SMW004.203,PASS,
Wi-fi connection after suspension (Ubuntu) (S0ix),SMW005.201,PASS,
